operator,owner,tenant,location,state,lat,lon,filing_llc,attribution,src
Meta,self,Meta,Kansas City,MO,39.1,-94.58,"Codename shells: Greater Kudu, Raven Northbrook, Stadion, Wobniar, Pinnacle Mountain",first_party,meta_dc
Meta,self,Meta,Tulsa,OK,36.15,-95.99,"Codename shells: Greater Kudu, Raven Northbrook, Stadion, Wobniar, Pinnacle Mountain",first_party,meta_dc
Meta,self,Meta,Aiken,SC,33.56,-81.72,"Codename shells: Greater Kudu, Raven Northbrook, Stadion, Wobniar, Pinnacle Mountain",first_party,meta_dc
Meta,self,Meta,Henrico,VA,37.56,-77.4,"Codename shells: Greater Kudu, Raven Northbrook, Stadion, Wobniar, Pinnacle Mountain",first_party,meta_dc
Meta,self,Meta,Beaver Dam,WI,43.46,-88.84,"Codename shells: Greater Kudu, Raven Northbrook, Stadion, Wobniar, Pinnacle Mountain",first_party,meta_dc
Meta,self,Meta,Cheyenne,WY,41.14,-104.82,"Codename shells: Greater Kudu, Raven Northbrook, Stadion, Wobniar, Pinnacle Mountain",first_party,meta_dc
Microsoft,self,Microsoft,Goodyear (Greater Phoenix),AZ,33.44,-112.36,Project-name / generic 'Holdings LLC'; less consistently codenamed,first_party,microsoft_dc
Microsoft,self,Microsoft,Santa Clara / San Jose,CA,37.35,-121.95,Project-name / generic 'Holdings LLC'; less consistently codenamed,first_party,microsoft_dc
Microsoft,self,Microsoft,Greater Atlanta,GA,33.75,-84.39,Project-name / generic 'Holdings LLC'; less consistently codenamed,first_party,microsoft_dc
Microsoft,self,Microsoft,Chicago,IL,41.85,-87.65,Project-name / generic 'Holdings LLC'; less consistently codenamed,first_party,microsoft_dc
Microsoft,self,Microsoft,Northern Indiana (LaPorte),IN,41.61,-86.72,Project-name / generic 'Holdings LLC'; less consistently codenamed,first_party,microsoft_dc
Microsoft,self,Microsoft,West Des Moines,IA,41.58,-93.71,Project-name / generic 'Holdings LLC'; less consistently codenamed,first_party,microsoft_dc
Microsoft,self,Microsoft,Southeast Michigan,MI,42.17,-83.78,Project-name / generic 'Holdings LLC'; less consistently codenamed,first_party,microsoft_dc
Microsoft,self,Microsoft,Las Vegas,NV,36.17,-115.14,Project-name / generic 'Holdings LLC'; less consistently codenamed,first_party,microsoft_dc
Microsoft,self,Microsoft,Maiden (Catawba Co.),NC,35.58,-81.21,Project-name / generic 'Holdings LLC'; less consistently codenamed,first_party,microsoft_dc
Microsoft,self,Microsoft,Northern Virginia,VA,39.02,-77.48,Project-name / generic 'Holdings LLC'; less consistently codenamed,first_party,microsoft_dc
Microsoft,self,Microsoft,Central Ohio (Heath),OH,40.02,-82.44,Project-name / generic 'Holdings LLC'; less consistently codenamed,first_party,microsoft_dc
Microsoft,self,Microsoft,Boydton (Southern Virginia),VA,36.67,-78.39,Project-name / generic 'Holdings LLC'; less consistently codenamed,first_party,microsoft_dc
Microsoft,self,Microsoft,Greater San Antonio,TX,29.42,-98.49,Project-name / generic 'Holdings LLC'; less consistently codenamed,first_party,microsoft_dc
Microsoft,self,Microsoft,Quincy (Central Washington),WA,47.23,-119.85,Project-name / generic 'Holdings LLC'; less consistently codenamed,first_party,microsoft_dc
Microsoft,self,Microsoft,Mount Pleasant (Racine Co.),WI,42.72,-87.85,Project-name / generic 'Holdings LLC'; less consistently codenamed,first_party,microsoft_dc
Microsoft,self,Microsoft,Cheyenne,WY,41.14,-104.82,Project-name / generic 'Holdings LLC'; less consistently codenamed,first_party,microsoft_dc
Amazon (AWS),self,Amazon (AWS),Northern Virginia (Loudoun Co.),VA,39.08,-77.65,"Vadata, Inc. — AWS's build/operating entity on many permits",first_party,aws_dc
Amazon (AWS),self,Amazon (AWS),Central Ohio (New Albany),OH,40.08,-82.81,"Vadata, Inc. — AWS's build/operating entity on many permits",first_party,aws_dc
Amazon (AWS),self,Amazon (AWS),Umatilla / Boardman,OR,45.84,-119.7,"Vadata, Inc. — AWS's build/operating entity on many permits",first_party,aws_dc
Amazon (AWS),self,Amazon (AWS),New Carlisle (Northern Indiana),IN,41.7,-86.51,"Vadata, Inc. — AWS's build/operating entity on many permits",first_party,aws_dc
Amazon (AWS),self,Amazon (AWS),Madison County,MS,32.63,-90.03,"Vadata, Inc. — AWS's build/operating entity on many permits",first_party,aws_dc
Amazon (AWS),self,Amazon (AWS),Warren County (Vicksburg),MS,32.35,-90.88,"Vadata, Inc. — AWS's build/operating entity on many permits",first_party,aws_dc
Amazon (AWS),self,Amazon (AWS),Richmond County (Rockingham),NC,34.97,-79.76,"Vadata, Inc. — AWS's build/operating entity on many permits",first_party,aws_dc
Amazon (AWS),self,Amazon (AWS),Luzerne County (Salem Twp.),PA,41.15,-76.04,"Vadata, Inc. — AWS's build/operating entity on many permits",first_party,aws_dc
Amazon (AWS),self,Amazon (AWS),Falls Township (Bucks Co.),PA,40.17,-74.76,"Vadata, Inc. — AWS's build/operating entity on many permits",first_party,aws_dc
Amazon (AWS),self,Amazon (AWS),Caddo / Bossier Parish,LA,32.52,-93.75,"Vadata, Inc. — AWS's build/operating entity on many permits",first_party,aws_dc
xAI (Colossus),self,xAI (Colossus),Memphis (Boxtown / President's Island),TN,35.08,-90.11,"Site/retrofit LLCs (e.g. former Electrolux plant, Memphis)",first_party,xai_memphis
xAI (Colossus),self,xAI (Colossus),Memphis (Whitehaven),TN,35.04,-90.02,"Site/retrofit LLCs (e.g. former Electrolux plant, Memphis)",first_party,xai_memphis
OpenAI · Oracle (Stargate),self,OpenAI,Abilene (Lancium Clean Campus),TX,32.45,-99.73,"Per-site developer LLCs (Crusoe/Lancium at Abilene, etc.)",first_party,stargate
OpenAI · Oracle (Stargate),self,OpenAI,Shackelford County,TX,32.74,-99.33,"Per-site developer LLCs (Crusoe/Lancium at Abilene, etc.)",first_party,stargate
OpenAI · Oracle (Stargate),self,OpenAI,Doña Ana County,NM,32.35,-106.87,"Per-site developer LLCs (Crusoe/Lancium at Abilene, etc.)",first_party,stargate
OpenAI · Oracle (Stargate),self,OpenAI,Milam County (Rockdale),TX,30.65,-96.97,"Per-site developer LLCs (Crusoe/Lancium at Abilene, etc.)",first_party,stargate
OpenAI · Oracle (Stargate),self,OpenAI,Lordstown,OH,41.17,-80.85,"Per-site developer LLCs (Crusoe/Lancium at Abilene, etc.)",first_party,stargate
CoreWeave,self,,Kenilworth (NEST11),NJ,40.68,-74.29,"Mostly TENANT in partners' buildings: Core Scientific, Chirisa/Bulk, Flexential, Lincoln, TierPoint, Digital Realty, DataBank, Switch, Galaxy, Applied Digital",leasing_news,crwv_dc
CoreWeave,self,,Las Vegas (Core Campus / LAS1),NV,36.1,-115.15,"Mostly TENANT in partners' buildings: Core Scientific, Chirisa/Bulk, Flexential, Lincoln, TierPoint, Digital Realty, DataBank, Switch, Galaxy, Applied Digital",leasing_news,crwv_dc
CoreWeave,self,,Lancaster,PA,40.04,-76.3,"Mostly TENANT in partners' buildings: Core Scientific, Chirisa/Bulk, Flexential, Lincoln, TierPoint, Digital Realty, DataBank, Switch, Galaxy, Applied Digital",leasing_news,crwv_dc
CoreWeave,self,,Denton (Core Scientific host),TX,33.21,-97.13,"Mostly TENANT in partners' buildings: Core Scientific, Chirisa/Bulk, Flexential, Lincoln, TierPoint, Digital Realty, DataBank, Switch, Galaxy, Applied Digital",leasing_news,crwv_dc
CoreWeave,self,,Port of Muskogee (Core Scientific host),OK,35.74,-95.37,"Mostly TENANT in partners' buildings: Core Scientific, Chirisa/Bulk, Flexential, Lincoln, TierPoint, Digital Realty, DataBank, Switch, Galaxy, Applied Digital",leasing_news,crwv_dc
Equinix,self,Colocation tenants (undisclosed),"Ashburn (DC1–DC15 IBX campus, Loudoun Co.)",VA,39.02,-77.46,IBX-branded site entities,first_party,equinix_dc
Digital Realty,self,Colocation tenants (undisclosed),"Ashburn (Digital Loudoun campus, ~500 MW)",VA,39.01,-77.47,'Digital [City]/[Address] LLC'; legacy Telx entities; Ascenty (LatAm),first_party,dlr_dc
Vantage,DigitalBridge + Silver Lake,Colocation tenants (undisclosed),"Sterling / Ashburn (Ashburn I–III, 142 + 288 MW)",VA,39.0,-77.43,Per-campus 'Vantage ... LLC' site entities,first_party,vantage_dc
QTS,Blackstone,Colocation tenants (undisclosed),"Ashburn (Ashburn 2 / Dulles Vault campus, Loudoun Co.)",VA,38.99,-77.45,'QTS ... LLC' + Blackstone holding entities; early generic project LLCs,first_party,qts_dc
CloudHQ,self,Colocation tenants (undisclosed),Ashburn (LC campus) and Manassas (MCC campus),VA,38.79,-77.52,,first_party,cloudhq_dc
